--------- beginning of main
02-13 10:09:34.580  2539  2874 E GlyphScraper:   RAWG candidate: 'Star Traders: 4X Empires' score=0.15714288 (required > 0.4)
02-13 10:09:34.581  2539  2874 E GlyphScraper:   RAWG candidate: 'Agricola: All Creatures Big and Small' score=0.19039038 (required > 0.4)
02-13 10:09:34.582  2539  2874 E GlyphScraper:   RAWG candidate: 'Baseball Star' score=0.44545457 (required > 0.4)
02-13 10:09:34.744  2539  2874 D GlyphScraper:     RAWG match: 'Baseball Star' (screenshot, not box art)
02-13 10:09:34.745  2539  2874 E GlyphScraper:   rawg -> title='Baseball Star' hasImage=true
02-13 10:09:34.902  2539  2874 E GlyphScraper:   RAWG candidate: 'Project Highrise' score=0.31111112 (required > 0.4)
02-13 10:09:34.903  2539  2874 E GlyphScraper:   RAWG candidate: '.projekt' score=0.13333333 (required > 0.4)
02-13 10:09:34.904  2539  2874 E GlyphScraper:   RAWG candidate: 'Project: N' score=0.17777778 (required > 0.4)
02-13 10:09:34.904  2539  2874 E GlyphScraper:   RAWG candidate: 'Project: DUNGEON' score=0.17777778 (required > 0.4)
02-13 10:09:34.905  2539  2874 E GlyphScraper:   RAWG candidate: '[PROJECT: DRIFT]' score=0.17777778 (required > 0.4)
02-13 10:09:34.906  2539  2874 E GlyphScraper:   RAWG candidate: 'Project: Muse' score=0.17777778 (required > 0.4)
02-13 10:09:34.906  2539  2874 E GlyphScraper:   RAWG candidate: 'BiO-project' score=0.17777778 (required > 0.4)
02-13 10:09:34.907  2539  2874 E GlyphScraper:   RAWG candidate: 'Project-Farm' score=0.22222224 (required > 0.4)
02-13 10:09:34.907  2539  2874 E GlyphScraper:   RAWG candidate: 'test-project' score=0.17777778 (required > 0.4)
02-13 10:09:34.908  2539  2874 E GlyphScraper:   RAWG candidate: 'Projekt: Passion' score=0.15555558 (required > 0.4)
02-13 10:09:34.912  2539  2874 E GlyphScraper:   rawg -> no match
02-13 10:09:34.912  2539  2874 E GlyphScraper:   No results from any scraper
02-13 10:09:35.061  2539  2852 D GlyphScraper:     RAWG match: 'air space combat' (screenshot, not box art)
02-13 10:09:35.061  2539  2852 E GlyphScraper:   rawg -> title='air space combat' hasImage=true
02-13 10:09:35.271  2539  2605 E GlyphScraper: Scraping: 'Army Men - Sarge's Heroes (U) [!].z64' -> cleaned: 'Army Men Sarge's Heroes' [n64]
02-13 10:09:35.271  2539  2879 E GlyphScraper: Scraping: 'Army Men - Sarge's Heroes 2 (U) [!].z64' -> cleaned: 'Army Men Sarge's Heroes 2' [n64]
02-13 10:09:35.271  2539  2604 E GlyphScraper: Scraping: 'Automobili Lamborghini (U) [!].z64' -> cleaned: 'Automobili Lamborghini' [n64]
02-13 10:09:35.272  2539  2605 D GlyphScraper:     LibRetro trying: https://thumbnails.libretro.com/Nintendo%20-%20Nintendo%2064/Named_Boxarts/Army%20Men%20Sarge%27s%20Heroes.png
02-13 10:09:35.272  2539  2879 D GlyphScraper:     LibRetro trying: https://thumbnails.libretro.com/Nintendo%20-%20Nintendo%2064/Named_Boxarts/Army%20Men%20Sarge%27s%20Heroes%202.png
02-13 10:09:35.273  2539  2604 D GlyphScraper:     LibRetro trying: https://thumbnails.libretro.com/Nintendo%20-%20Nintendo%2064/Named_Boxarts/Automobili%20Lamborghini.png
02-13 10:09:35.273  2539  2606 E GlyphScraper: Scraping: 'Asteroids Hyper 64 (U) [!].z64' -> cleaned: 'Asteroids Hyper 64' [n64]
02-13 10:09:35.273  2539  2606 D GlyphScraper:     LibRetro trying: https://thumbnails.libretro.com/Nintendo%20-%20Nintendo%2064/Named_Boxarts/Asteroids%20Hyper%2064.png
02-13 10:09:37.651  2539  2606 E GlyphScraper:   libretro -> no match, trying keyed APIs...
02-13 10:09:37.652  2539  2605 E GlyphScraper:   libretro -> no match, trying keyed APIs...
02-13 10:09:37.653  2539  2604 E GlyphScraper:   libretro -> no match, trying keyed APIs...
02-13 10:09:37.657  2539  2880 E GlyphScraper: Scrapers active: [rawg] (Keys: TGDB=false, RAWG=true, Moby=false)
02-13 10:09:37.658  2539  2879 E GlyphScraper:   libretro -> no match, trying keyed APIs...
02-13 10:09:37.660  2539  2620 E GlyphScraper: Scrapers active: [rawg] (Keys: TGDB=false, RAWG=true, Moby=false)
02-13 10:09:37.661  2539  2875 E GlyphScraper: Scrapers active: [rawg] (Keys: TGDB=false, RAWG=true, Moby=false)
02-13 10:09:37.666  2539  2879 E GlyphScraper: Scrapers active: [rawg] (Keys: TGDB=false, RAWG=true, Moby=false)
02-13 10:09:38.310  2539  2879 E GlyphScraper:   RAWG candidate: 'Asteroids Hyper' score=0.76666665 (required > 0.4)
02-13 10:09:38.310  2539  2879 E GlyphScraper:   RAWG candidate: 'Asteroid Arcade (itch)' score=0.24545456 (required > 0.4)
02-13 10:09:38.311  2539  2879 E GlyphScraper:   RAWG candidate: 'Hyper Tank GearZ: Arcade' score=0.16666669 (required > 0.4)
02-13 10:09:38.311  2539  2604 E GlyphScraper:   RAWG candidate: 'Skrillex - Purple Lamborghini - Kyoto - Beatmaker' score=0.22585034 (required > 0.4)
02-13 10:09:38.311  2539  2604 E GlyphScraper:   rawg -> no match
02-13 10:09:38.311  2539  2604 E GlyphScraper:   No results from any scraper
02-13 10:09:38.311  2539  2879 E GlyphScraper:   RAWG candidate: 'Asteroid Survival - UP957509' score=0.23571429 (required > 0.4)
02-13 10:09:38.312  2539  2879 E GlyphScraper:   RAWG candidate: 'Asteroid destroyer-retro' score=0.275 (required > 0.4)
02-13 10:09:38.312  2539  2879 E GlyphScraper:   RAWG candidate: 'Asteroid (Alestore Inc.)' score=0.275 (required > 0.4)
02-13 10:09:38.313  2539  2879 E GlyphScraper:   RAWG candidate: 'Spaceship Attack: Asteroid' score=0.11538463 (required > 0.4)
